id,name,full_name,age,nationality,team_name,season
123437,D. Sanderson,Dion Dannie Leonard Sanderson,24,England,Wolves,2021
130418,A. Søndergaard,Andreas Søndergaard,22,Denmark,Wolves,2021
130421,W. Smallbone,William Anthony Patrick Smallbone,23,Republic of Ireland,Southampton,2021
149564,L. Cundle,Luke James Cundle,21,England,Wolves,2021
152952,X. Simons,Xavier Levi Simons,20,England,Chelsea,2021
152971,V. Campbell,Vontae Jason Daley-Campbell,22,England,Leicester,2021
180560,H. Mejbri,Hannibal Mejbri,20,Tunisia,Manchester United,2021
297187,L. Hjelde,Leo Fuhr Hjelde,20,Norway,Leeds,2021
638,I. Poveda-Ocampo,Ian Carlo Poveda-Ocampo,23,England,Leeds,2021
639,T. Richards,Taylor Jerome Richards,23,England,Brighton,2021
17772,C. Goode,Charlie Goode,28,England,Brentford,2021
18840,M. Kelly,Martin Kelly,33,England,Crystal Palace,2021
18916,M. Lowton,Matthew John Lowton,34,England,Burnley,2021
18924,J. Hendrick,Jeff Patrick Hendrick,31,Republic of Ireland,Newcastle,2021
18956,S. Long,Shane Patrick Long,36,Republic of Ireland,Southampton,2021
19139,T. Roberts,Tyler D'Whyte Roberts,24,Wales,Leeds,2021
19251,A. Fletcher,Ashley Michael Fletcher,28,England,Watford,2021
22010,S. Ojo,Oluwaseyi Babajide Ojo,26,England,Liverpool,2021
127469,D. Thompson,Dominic Lewis Thompson,23,England,Brentford,2021
138777,F. Anjorin,Faustino Adebola Rasheed Anjorin,22,England,Chelsea,2021
138829,E. Dixon-Bonner,Elijah Dixon-Bonner,22,England,Liverpool,2021
138842,M. Azeez,Miguel Azeez,21,England,Arsenal,2021
138844,H. Tyrer,Harry Alfred Tyrer,22,England,Everton,2021
138909,D. Langley,Daniel David Langley,23,England,Newcastle,2021
191976,J. Hungbo,Joseph Oluwagbemiga Mayowa Hungbo,23,England,Watford,2021
284208,J. McGlynn,Joseph Peter McGlynn,21,Scotland,Burnley,2021
284466,C. Patino,Charlie Michael Patino,20,England,Arsenal,2021
284500,T. Iroegbunam,Timothy Emeka Iroegbunam,20,England,Aston Villa,2021
18736,W. Norris,William James Norris,30,England,Burnley,2021
18912,P. Bardsley,Phil Bardsley,38,Scotland,Burnley,2021
18934,H. Lewis,Harry Lewis,26,England,Southampton,2021
19188,C. Hourihane,Conor Hourihane,32,Republic of Ireland,Aston Villa,2021
19541,C. Walton,Christian Timothy Walton,28,England,Brighton,2021
19894,B. Mumba,Bali Mumba,22,England,Norwich,2021
126791,N. Broadhead,Nathan Paul Broadhead,25,Wales,Everton,2021
137300,H. Roberts,Haydon Cameron Roberts,21,England,Brighton,2021
138793,H. White,Harvey David White,22,England,Tottenham,2021
153425,L. Dobbin,Lewis Norman Dobbin,20,England,Everton,2021
163054,S. Shoretire,Shola Maxwell Shoretire,19,England,Manchester United,2021
167656,M. Leonard,Marc Henry Leonard,22,Scotland,Brighton,2021
180317,C. Bradley,Conor Bradley,20,Northern Ireland,Liverpool,2021
180940,T. Sharman-Lowe,Teddy Samuel Sharman-Lowe,20,England,Chelsea,2021
264437,B. Thomas,Bobby Thomas,22,England,Burnley,2021
275576,J. McCracken,Jon McCracken,23,Scotland,Norwich,2021
278064,T. Springett,Anthony Gary Springett,21,England,Norwich,2021
278092,J. Tomkinson,Jonathan Tomkinson,21,USA,Norwich,2021
278129,L. Mbete,Luke Mbete-Tabu,20,England,Manchester City,2021
280672,E. Turns,Edward James Turns,21,Wales,Brighton,2021
17463,O. Khan,Otis Jan Mohammed Khan,28,England,Walsall,2021
69680,D. Costelloe,Dara James Morgan Costelloe,21,Republic of Ireland,Burnley,2021
107087,S. Banks,Scott Brian Banks,22,Scotland,Crystal Palace,2021
138783,Z. Swanson,Zachary Swanson,23,England,Arsenal,2021
138819,M. Lavinier,Marcel Edwin Rodrigues Lavinier,23,England,Tottenham,2021
138864,K. Chauke,Kgaogelo Chauke,20,England,Southampton,2021
138906,J. White,Joe Peter White,21,England,Newcastle,2021
138919,T. Dickson-Peters,Thomas Dickson-Peters,21,Scotland,Norwich,2021
153431,M. Helm,Mark Helm,22,England,Burnley,2021
158432,C. Campbell,Chem Campbell,21,Wales,Wolves,2021
158698,J. Quansah,Jarell Amorin Quansah,20,England,Liverpool,2021
162552,D. Scarlett,Dane Pharrell Scarlett,19,England,Tottenham,2021
197811,L. Gordon,Lewis Gordon,22,Scotland,Brentford,2021
276605,D. Agyakwa,Derek Agyakwa,22,Netherlands,Watford,2021
278118,B. Nelson,Benjamin Harvey Nelson,19,England,Leicester,2021
282901,J. Jenkins,Jack Jenkins,21,England,Leeds,2021
283290,K. McAteer,Kasey McAteer,22,England,Leicester,2021
284449,J. Rak-Sakyi,Jesurun Rak-Sakyi,21,England,Crystal Palace,2021
298049,R. Street,Robert Nicholas Street,22,England,Crystal Palace,2021
348461,S. Willock,Shay Willock,20,England,Walsall,2021
18791,B. Foster,Benjamin Anthony Foster,40,England,Watford,2021
18887,R. Elliot,Robert Elliot,37,Republic of Ireland,Watford,2021
19629,D. Martin,David Edward Martin,37,England,West Ham,2021
21147,A. Gomez Mancini,Anthony Gomez Mancini,22,France,Burnley,2021
40434,J. Valencia,César Joel Valencia Castillo,29,Ecuador,Brentford,2021
45013,K. McAllister,Kyle McAllister,24,Scotland,Partick,2021
138839,T. Omole,Tobi Omole,24,England,Tottenham,2021
138841,M. Ogungbo,Mazeed Ogungbo,21,Republic of Ireland,Arsenal,2021
138905,T. Allan,Thomas David Allan,24,England,Newcastle,2021
152949,D. Simeu,Dynel Brown Kembo Simeu,21,England,Southampton,2021
162075,P. Maghoma,Edmond-Paris Maghoma,22,England,Brentford,2021
162446,L. Bate,Lewis Michael Bate,21,England,Leeds,2021
167657,T. Onyango,Tyler Jaden Napier Edward Onyango,20,England,Everton,2021
180308,M. Peart-Harris,Myles Peart-Harris,21,England,Brentford,2021
197807,C. Chukwuemeka,Chigozier Caleb Chukwuemeka,21,England,Aston Villa,2021
278083,M. Haygarth,Maxwell Haygarth,21,England,Brentford,2021
284297,O. Dodgson,Owen Joel Dodgson,20,England,Burnley,2021
284323,C. Savage,Charlie William Henry Savage,20,Wales,Manchester United,2021
309816,S. Forde,Shaqai Forde,19,England,Watford,2021
350318,K. Conteh,Kamil Amadu Conteh,21,Sierra Leone,Watford,2021
305,D. Origi,Divock Okoth Origi,28,Belgium,Liverpool,2021
662,T. Ndombélé,Tanguy Ndombélé Alvaro,27,France,Tottenham,2021
842,N. Vlašić,Nikola Vlašić,26,Croatia,West Ham,2021
874,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,38,Portugal,Manchester United,2021
877,M. Kean,Moise Bioty Kean,23,Italy,Everton,2021
902,N. Matić,Nemanja Matić,35,Serbia,Manchester United,2021
904,P. Pogba,Paul Labile Pogba,30,France,Manchester United,2021
907,R. Lukaku,Romelu Menama Lukaku Bolingoli,30,Belgium,Chelsea,2021
2279,E. Ampadu,Ethan Kwame Colm Raymond Ampadu,23,Wales,Chelsea,2021
2773,W. Troost-Ekong,William Paul Troost-Ekong,30,Nigeria,Watford,2021
2777,I. Success,Isaac Success Ajayi,27,Nigeria,Watford,2021
3295,P. Tau,Percy Muzi Tau,29,South Africa,Brighton,2021
18752,Hélder Costa,Hélder Wander Sousa de Azevedo e Costa,29,Angola,Leeds,2021
18767,A. Lookman,Ademola Lookman Olajade Alade Aylola Lookman,26,Nigeria,Leicester,2021
18799,A. Masina,Adam Masina,29,Morocco,Watford,2021
19194,T. Abraham,Tammy Bakumo-Abraham,26,England,Chelsea,2021
30418,P. Gollini,Pierluigi Gollini,28,Italy,Tottenham,2021
30795,Samir,Samir Caetano de Souza Santos,29,Brazil,Watford,2021
46792,Pablo Marí,Pablo Marí Villar,30,Spain,Arsenal,2021
47302,Diego Llorente,Diego Javier Llorente Ríos,30,Spain,Leeds,2021
49,T. Partey,Thomas Teye Partey,30,Ghana,Arsenal,2021
182,H. Winks,Harry Billy Winks,27,England,Tottenham,2021
1107,F. Benković,Filip Benković,26,Croatia,Leicester,2021
1117,K. Tierney,Kieran Tierney,26,Scotland,Arsenal,2021
1440,R. Holding,Robert Samuel Holding,28,England,Arsenal,2021
1460,B. Saka,Bukayo Ayoyinka Saka,22,England,Arsenal,2021
2597,T. Tomiyasu,Takehiro Tomiyasu,25,Japan,Arsenal,2021
19069,C. Zimmermann,Christoph Zimmermann,30,Germany,Norwich,2021
19959,B. White,Benjamin William White,26,England,Arsenal,2021
20355,A. Ramsdale,Aaron Christopher Ramsdale,25,England,Arsenal,2021
22224,Gabriel Magalhães,Gabriel dos Santos Magalhães,26,Brazil,Arsenal,2021
37127,M. Ødegaard,Martin Ødegaard,25,Norway,Arsenal,2021
53525,M. Normann,Mathias Antonsen Normann,27,Norway,Norwich,2021
125618,M. Karbownik,Michał Karbownik,22,Poland,Brighton,2021
138931,J. Philogene,Jaden Philogene-Bidace,21,England,Aston Villa,2021
138937,F. Marschall,Filip Marschall,20,England,Aston Villa,2021
152699,K. Baah,Kwadwo Kyeremeh Baah,20,Germany,Watford,2021
169295,K. Hein,Karl Jakob Hein,21,Estonia,Arsenal,2021
278079,A. Ramsey,Aaron James Ramsey,20,England,Aston Villa,2021
284457,L. Bogarde,Lamare Trenton Chansey Bogarde,19,Netherlands,Aston Villa,2021
567,Rúben Dias,Rúben dos Santos Gato Alves Dias,26,Portugal,Manchester City,2021
617,Ederson,Ederson Santana de Moraes,30,Brazil,Manchester City,2021
622,Aymeric Laporte,Aymeric Jean Louis Gérard Alph Laporte,29,Spain,Manchester City,2021
626,J. Stones,John Stones,29,England,Manchester City,2021
627,K. Walker,Kyle Andrew Walker,33,England,Manchester City,2021
633,İ. Gündoğan,İlkay Gündoğan,33,Germany,Manchester City,2021
641,O. Zinchenko,Oleksandr Volodymyrovych Zinchenko,27,Ukraine,Manchester City,2021
643,Gabriel Jesus,Gabriel Fernando de Jesus,26,Brazil,Manchester City,2021
727,R. Nelson,Reiss Luke Nelson,24,England,Arsenal,2021
1161,E. Smith Rowe,Emile Smith Rowe,23,England,Arsenal,2021
1452,Mohamed Elneny,Mohamed Naser Elsayed Elneny,31,Egypt,Arsenal,2021
1464,G. Xhaka,Granit Xhaka,31,Switzerland,Arsenal,2021
1468,E. Nketiah,Edward Keddar Nketiah,24,England,Arsenal,2021
1946,L. Trossard,Leandro Trossard,29,Belgium,Brighton,2021
2289,Jorginho,Jorge Luiz Frello Filho,32,Italy,Chelsea,2021
18861,N. Aké,Nathan Benjamin Aké,28,Netherlands,Manchester City,2021
19130,K. Phillips,Kalvin Mark Phillips,28,England,Leeds,2021
19187,J. Grealish,Jack Peter Grealish,28,England,Manchester City,2021
19197,S. Carson,Scott Paul Carson,38,England,Manchester City,2021
127769,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,22,Brazil,Arsenal,2021
44,Rodri,Rodrigo Hernández Cascante,27,Spain,Manchester City,2021
169,K. Trippier,Kieran John Trippier,33,England,Newcastle,2021
629,K. De Bruyne,Kevin De Bruyne,32,Belgium,Manchester City,2021
631,P. Foden,Philip Walter Foden,23,England,Manchester City,2021
635,R. Mahrez,Riyad Karim Mahrez,32,Algeria,Manchester City,2021
636,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,29,Portugal,Manchester City,2021
1972,L. Karius,Loris Karius,30,Germany,Liverpool,2021
2806,F. Schär,Fabian Lukas Schär,32,Switzerland,Newcastle,2021
2855,E. Krafth,Emil Henry Kristoffer Krafth,29,Sweden,Newcastle,2021
